Assay,Taxon,Amp,Genus
CMCP_3,Osteobrama belangeri,0.135,Osteobrama
CMCP_2,Pseudobarbus asper,0.135,Pseudobarbus
CMCP_4,Rasbora naggsi,0.135,Rasbora
CMCP_1,Akrokolioplax bicornis,0.134,Akrokolioplax
CMCP_1,Campostoma pullum,0.134,Campostoma
CMCP_3,Notropis longirostris,0.134,Notropis
CMCP_4,Rasbora rutteni,0.134,Rasbora
CMCP_4,Sarcocheilichthys caobangensis,0.134,Sarcocheilichthys
CMCP_4,Scardinius scardafa,0.134,Scardinius
CMCP_4,Sinocyclocheilus aquihornes,0.134,Sinocyclocheilus
CMCP_1,Barilius ardens,0.133,Barilius
CMCP_3,Microdevario kubotai,0.133,Microdevario
CMCP_3,Microphysogobio nudiventris,0.133,Microphysogobio
CMCP_3,Microphysogobio yaluensis,0.133,Microphysogobio
CMCP_3,Notropis anogenus,0.133,Notropis
CMCP_3,Opsariichthys minutus,0.133,Opsariichthys
CMCP_5,Tribolodon nakamurai,0.133,Tribolodon
CMCP_4,Rasbora paucisqualis,0.133,Rasbora
CMCP_4,Saurogobio immaculatus,0.133,Saurogobio
CMCP_1,Acheilognathus hypselonotus,0.132,Acheilognathus
CMCP_1,Barbus martorelli,0.132,Barbus
CMCP_3,Luxilus zonatus,0.132,Luxilus
CMCP_3,Phoxinus percnurus,0.132,Phoxinus
CMCP_3,Phoxinus perenurus,0.132,Phoxinus
CMCP_2,Pseudophoxinus crassus,0.132,Pseudophoxinus
CMCP_5,Tribolodon sachalinensis,0.132,Tribolodon
CMCP_4,Rasbora armitagei,0.132,Rasbora
CMCP_4,Sarcocheilichthys nigripinnis,0.132,Sarcocheilichthys
CMCP_4,Sarcocheilichthys variegatus,0.132,Sarcocheilichthys
CMCP_4,Saurogobio lissilabris,0.132,Saurogobio
CMCP_supplement,Lobocheilos bo,0.132,Lobocheilos
CMCP_1,Barbus cadenati,0.131,Barbus
CMCP_1,Barbus guineensis,0.131,Barbus
CMCP_1,Carassius auratus,0.131,Carassius
CMCP_1,Carassius carassius,0.131,Carassius
CMCP_3,Natural gynogenetic,0.131,Natural
CMCP_5,Opsaridium microlepis,0.131,Opsaridium
CMCP_3,Pectenocypris balaena,0.131,Pectenocypris
CMCP_3,Phenacobius mirabilis,0.131,Phenacobius
CMCP_3,Phoxinus eos,0.131,Phoxinus
CMCP_5,Squalidus gracilis,0.131,Squalidus
CMCP_5,Sundadanio axelrodi,0.131,Sundadanio
CMCP_4,Rasbora kalochroma,0.131,Rasbora
CMCP_4,Rhodeus amarus,0.131,Rhodeus
CMCP_1,Acheilognathus koreensis,0.13,Acheilognathus
CMCP_1,Acheilognathus longibarbatus,0.13,Acheilognathus
CMCP_4,Puntius hexazona,0.13,Puntius
CMCP_4,Rasbora cephalotaenia,0.13,Rasbora
CMCP_4,Rasbora jacobsoni,0.13,Rasbora
CMCP_4,Rhodeus ocellatus,0.13,Rhodeus
CMCP_4,Rhodeus sericeus,0.13,Rhodeus
CMCP_4,Romanogobio ciscaucasicus,0.13,Romanogobio
CMCP_4,Romanogobio parvus,0.13,Romanogobio
CMCP_4,Semotilus thoreauianus,0.13,Semotilus
CMCP_3,Notropis uranoscopus,0.129,Notropis
CMCP_2,Pseudolaubuca engraulis,0.129,Pseudolaubuca
CMCP_2,Pseudophoxinus beoticus,0.129,Pseudophoxinus
CMCP_5,Systomus pleurotaenia,0.129,Systomus
CMCP_4,Ptychocheilus oregonensis,0.129,Ptychocheilus
CMCP_4,Raiamas batesii,0.129,Raiamas
CMCP_4,Rhinichthys osculus,0.129,Rhinichthys
CMCP_4,Rutilus rubilio,0.129,Rutilus
CMCP_4,Saurogobio dabryi,0.129,Saurogobio
CMCP_1,Barbodes banksi,0.128,Barbodes
CMCP_1,Chondrostoma oligolepis,0.128,Chondrostoma
CMCP_3,Notropis harperi,0.128,Notropis
CMCP_2,Pseudogyrinocheilus prochilus,0.128,Pseudogyrinocheilus
CMCP_5,Xenocyprioides parvulus,0.128,Xenocyprioides
CMCP_4,Rhinichthys evermanni,0.128,Rhinichthys
CMCP_4,Rhodeus spinalis,0.128,Rhodeus
CMCP_4,Rhynchocypris czekanowskii,0.128,Rhynchocypris
CMCP_4,Saurogobio dumerili,0.128,Saurogobio
CMCP_3,Leuciscus burdigalensis,0.127,Leuciscus
CMCP_3,Leuciscus oxyrrhis,0.127,Leuciscus
CMCP_3,Paracanthobrama guichenoti,0.127,Paracanthobrama
CMCP_2,Pseudophoxinus alii,0.127,Pseudophoxinus
CMCP_2,Pseudophoxinus antalyae,0.127,Pseudophoxinus
CMCP_2,Pseudophoxinus battalgilae,0.127,Pseudophoxinus
CMCP_2,Pseudophoxinus battalgili,0.127,Pseudophoxinus
CMCP_4,Raiamas bola,0.127,Raiamas
CMCP_4,Rhodeus albomarginatus,0.127,Rhodeus
CMCP_4,Rhodeus atremius,0.127,Rhodeus
CMCP_4,Rhynchocypris kumgangensis,0.127,Rhynchocypris
CMCP_4,Sahyadria denisonii,0.127,Sahyadria
CMCP_4,Schizopygopsis thermalis,0.127,Schizopygopsis
CMCP_4,Schizopygopsis younghusbandi,0.127,Schizopygopsis
CMCP_supplement,Pseudorasbora parva,0.127,Pseudorasbora
CMCP_1,Acheilognathus tabira,0.126,Acheilognathus
CMCP_3,Leptocypris modestus,0.126,Leptocypris
CMCP_2,Pimephales tenellus,0.126,Pimephales
CMCP_2,Pteronotropis euryzonus,0.126,Pteronotropis
CMCP_4,Pteronotropis metallicus,0.126,Pteronotropis
CMCP_4,Ptychocheilus umpquae,0.126,Ptychocheilus
CMCP_4,Rasbora maninjau,0.126,Rasbora
CMCP_4,Rhinichthys cataractae,0.126,Rhinichthys
CMCP_1,Algansea aphanea,0.125,Algansea
CMCP_3,Notropis micropteryx,0.125,Notropis
CMCP_2,Pteronotropis grandipinnis,0.125,Pteronotropis
CMCP_2,Pteronotropis hypselopterus,0.125,Pteronotropis
CMCP_4,Puntius titteya,0.125,Puntius
CMCP_4,Scardinius dergle,0.125,Scardinius
CMCP_supplement,Gymnodiptychus pachycheilus,0.125,Gymnodiptychus
CMCP_1,Acheilognathus typus,0.124,Acheilognathus
CMCP_1,Anabarilius liui,0.124,Anabarilius
CMCP_3,Opsariichthys bidens,0.124,Opsariichthys
CMCP_5,Tanichthys micagemmae,0.124,Tanichthys
CMCP_4,Ptychocheilus lucius,0.124,Ptychocheilus
CMCP_4,Rasbora brittani,0.124,Rasbora
CMCP_4,Rastrineobola argentea,0.124,Rastrineobola
CMCP_4,Rhodeus lighti,0.124,Rhodeus
CMCP_4,Rhodeus notatus,0.124,Rhodeus
CMCP_4,Romanogobio tenuicorpus,0.124,Romanogobio
CMCP_4,Scardinius plotizza,0.124,Scardinius
CMCP_4,Sinocyclocheilus anophthalmus,0.124,Sinocyclocheilus
CMCP_4,Sinocyclocheilus maculatus,0.124,Sinocyclocheilus
CMCP_4,Sinocyclocheilus maitianheensis,0.124,Sinocyclocheilus
CMCP_4,Sinocyclocheilus xunlensis,0.124,Sinocyclocheilus
CMCP_2,Poropuntius krempfi,0.123,Poropuntius
CMCP_2,Pteronotropis merlini,0.123,Pteronotropis
CMCP_4,Puntius chalakkudiensis,0.123,Puntius
CMCP_4,Rhodeus meridionalis,0.123,Rhodeus
CMCP_4,Romanogobio kesslerii,0.123,Romanogobio
CMCP_4,Semotilus corporalis,0.123,Semotilus
CMCP_4,Sinocyclocheilus anshuiensis,0.123,Sinocyclocheilus
CMCP_4,Sinocyclocheilus macrophthalmus,0.123,Sinocyclocheilus
CMCP_supplement,Pethia gelius,0.123,Pethia
CMCP_3,Leuciscus idus,0.122,Leuciscus
CMCP_3,Notropis bairdi,0.122,Notropis
CMCP_3,Phoxinus karsticus,0.122,Phoxinus
CMCP_2,Platysmacheilus nudiventris,0.122,Platysmacheilus
CMCP_2,Sinocyclocheilus erythrophthalmus,0.122,Sinocyclocheilus
CMCP_4,Puntius chelynoides,0.122,Puntius
CMCP_4,Puntius everetti,0.122,Puntius
CMCP_4,Rasbora bankanensis,0.122,Rasbora
CMCP_4,Rasbora kalbarensis,0.122,Rasbora
CMCP_4,Rasbora patrickyapi,0.122,Rasbora
CMCP_4,Romanogobio albipinnatus,0.122,Romanogobio
CMCP_4,Sarcocheilichthys davidi,0.122,Sarcocheilichthys
CMCP_4,Scardinius elmaliensis,0.122,Scardinius
CMCP_4,Sinocyclocheilus brevifinus,0.122,Sinocyclocheilus
CMCP_4,Sinocyclocheilus huangtianensis,0.122,Sinocyclocheilus
CMCP_1,Chuanchia labiosa,0.121,Chuanchia
CMCP_2,Poropuntius laoensis,0.121,Poropuntius
CMCP_2,Probarbus jullieni,0.121,Probarbus
CMCP_2,Probarbus labeaminor,0.121,Probarbus
CMCP_2,Pseudaspius leptocephalus,0.121,Pseudaspius
CMCP_4,Puntius oligolepis,0.121,Puntius
CMCP_4,Rasbora elegans,0.121,Rasbora
CMCP_4,Scardinius graecus,0.121,Scardinius
CMCP_4,Sinocyclocheilus angularis,0.121,Sinocyclocheilus
CMCP_4,Sinocyclocheilus liboensis,0.121,Sinocyclocheilus
CMCP_3,Notropis amoenus,0.12,Notropis
CMCP_3,Notropis rubellus,0.12,Notropis
CMCP_3,Percocypris tchangi,0.12,Percocypris
CMCP_2,Poropuntius bantamensis,0.12,Poropuntius
CMCP_2,Poropuntius opisthoptera,0.12,Poropuntius
CMCP_2,Poropuntius opisthopterus,0.12,Poropuntius
CMCP_2,Pseudobarbus senticeps,0.12,Pseudobarbus
CMCP_2,Pseudohemiculter hainanensis,0.12,Pseudohemiculter
CMCP_5,Telestes ukliva,0.12,Telestes
CMCP_4,Raiamas buchholzi,0.12,Raiamas
CMCP_4,Rasbora semilineata,0.12,Rasbora
CMCP_4,Rhinogobio hunanensis,0.12,Rhinogobio
CMCP_4,Rhynchocypris percnurus,0.12,Rhynchocypris
CMCP_4,Scaphiodonichthys acanthopterus,0.12,Scaphiodonichthys
CMCP_4,Sinocyclocheilus gracilicaudatus,0.12,Sinocyclocheilus
CMCP_4,Sinocyclocheilus grahami,0.12,Sinocyclocheilus
CMCP_4,Sinocyclocheilus hugeibarbus,0.12,Sinocyclocheilus
CMCP_4,Sinocyclocheilus huizeensis,0.12,Sinocyclocheilus
CMCP_4,Sinocyclocheilus hyalinus,0.12,Sinocyclocheilus
CMCP_4,Sinocyclocheilus jii,0.12,Sinocyclocheilus
CMCP_4,Sinocyclocheilus jiuxuensis,0.12,Sinocyclocheilus
CMCP_4,Sinocyclocheilus lingyunensis,0.12,Sinocyclocheilus
CMCP_4,Sinocyclocheilus longibarbatus,0.12,Sinocyclocheilus
CMCP_4,Sinocyclocheilus mashanensis,0.12,Sinocyclocheilus
CMCP_4,Sinocyclocheilus qiubeinsis,0.12,Sinocyclocheilus
CMCP_4,Sinocyclocheilus tingi,0.12,Sinocyclocheilus
CMCP_4,Sinocyclocheilus yimenensis,0.12,Sinocyclocheilus
CMCP_1,Barbus eburneensis,0.119,Barbus
CMCP_1,Boraras maculatus,0.119,Boraras
CMCP_2,Pseudaspius hakonensis,0.119,Pseudaspius
CMCP_2,Pseudolaubuca sinensis,0.119,Pseudolaubuca
CMCP_5,Squalius aphipsi,0.119,Squalius
CMCP_4,Rhodeus laoensis,0.119,Rhodeus
CMCP_4,Romanogobio benacensis,0.119,Romanogobio
CMCP_4,Sinocyclocheilus yangzongensis,0.119,Sinocyclocheilus
CMCP_4,Sinocyclocheilus yishanensis,0.119,Sinocyclocheilus
CMCP_3,Luxilus chrysocephalus,0.118,Luxilus
CMCP_3,Pelasgus minutus,0.118,Pelasgus
CMCP_2,Poropuntius huangchuchieni,0.118,Poropuntius
CMCP_2,Pseudophoxinus anatolicus,0.118,Pseudophoxinus
CMCP_5,Thynnichthys thynnoides,0.118,Thynnichthys
CMCP_4,Pungtungia herzi,0.118,Pungtungia
CMCP_4,Rasbora atridorsalis,0.118,Rasbora
CMCP_4,Rasbora borneensis,0.118,Rasbora
CMCP_4,Rasbora subtilis,0.118,Rasbora
CMCP_4,Rhynchocypris jouyi,0.118,Rhynchocypris
CMCP_4,Salmophasia bacaila,0.118,Salmophasia
CMCP_4,Saurogobio gymnocheilus,0.118,Saurogobio
CMCP_4,Sinocrossocheilus labiata,0.118,Sinocrossocheilus
CMCP_4,Sinocrossocheilus labiatus,0.118,Sinocrossocheilus
CMCP_4,Sinocyclocheilus wumengshanensis,0.118,Sinocyclocheilus
CMCP_3,Microphysogobio chinssuensis,0.117,Microphysogobio
CMCP_2,Poropuntius bolovenensis,0.117,Poropuntius
CMCP_2,Poropuntius carinatus,0.117,Poropuntius
CMCP_2,Poropuntius lobocheiloides,0.117,Poropuntius
CMCP_2,Poropuntius normani,0.117,Poropuntius
CMCP_2,Poropuntius scapanognathus,0.117,Poropuntius
CMCP_2,Poropuntius solitus,0.117,Poropuntius
CMCP_5,Xenophysogobio boulengeri,0.117,Xenophysogobio
CMCP_4,Puntioplites proctozystron,0.117,Puntioplites
CMCP_4,Puntius fasciatus,0.117,Puntius
CMCP_4,Puntius jerdoni,0.117,Puntius
CMCP_4,Qianlabeo striatus,0.117,Qianlabeo
CMCP_4,Rasbora arundinata,0.117,Rasbora
CMCP_4,Schizothorax macropogon,0.117,Schizothorax
CMCP_4,Sinocyclocheilus huanjiangensis,0.117,Sinocyclocheilus
CMCP_4,Sinocyclocheilus macrolepis,0.117,Sinocyclocheilus
CMCP_supplement,Rasbora lateristriata,0.117,Rasbora
CMCP_1,Bangana lippus,0.116,Bangana
CMCP_3,Parasinilabeo assimilis,0.116,Parasinilabeo
CMCP_3,Parasinilabeo longiventralis,0.116,Parasinilabeo
CMCP_2,Pseudobarbus afer,0.116,Pseudobarbus
CMCP_2,Pseudobarbus burchelli,0.116,Pseudobarbus
CMCP_2,Pseudohemiculter dispar,0.116,Pseudohemiculter
CMCP_5,Squalius malacitanus,0.116,Squalius
CMCP_4,Ptychobarbus dipogon,0.116,Ptychobarbus
CMCP_4,Puntius kelumi,0.116,Puntius
CMCP_4,Raiamas salmolucius,0.116,Raiamas
CMCP_4,Raiamas senegalensis,0.116,Raiamas
CMCP_4,Rasbora hobelmani,0.116,Rasbora
CMCP_4,Rasbora steineri,0.116,Rasbora
CMCP_4,Rasbora volzii,0.116,Rasbora
CMCP_4,Rhinogobio cylindricus,0.116,Rhinogobio
CMCP_4,Rhodeus fangi,0.116,Rhodeus
CMCP_4,Sarcocheilichthys parvus,0.116,Sarcocheilichthys
CMCP_4,Schizopygopsis chengi,0.116,Schizopygopsis
CMCP_4,Schizopygopsis pylzovi,0.116,Schizopygopsis
CMCP_4,Schizothorax curvilabiatus,0.116,Schizothorax
CMCP_4,Sinocyclocheilus angustiporus,0.116,Sinocyclocheilus
CMCP_4,Sinocyclocheilus brevis,0.116,Sinocyclocheilus
CMCP_1,Barbus paludinosus,0.115,Barbus
CMCP_3,Microphysogobio kachekensis,0.115,Microphysogobio
CMCP_3,Microphysogobio yunnanensis,0.115,Microphysogobio
CMCP_3,Opsarius koratensis,0.115,Opsarius
CMCP_3,Paraqianlabeo lineatus,0.115,Paraqianlabeo
CMCP_2,Plagiognathops microlepis,0.115,Plagiognathops
CMCP_2,Prolixicheilus longisulcus,0.115,Prolixicheilus
CMCP_2,Pseudobarbus phlegethon,0.115,Pseudobarbus
CMCP_2,Pseudogobio vaillanti,0.115,Pseudogobio
CMCP_5,Tiaroga cobitis,0.115,Tiaroga
CMCP_4,Puntioplites falcifer,0.115,Puntioplites
CMCP_4,Puntius lateristriga,0.115,Puntius
CMCP_4,Puntius lineatus,0.115,Puntius
CMCP_4,Rasbora pauciperforata,0.115,Rasbora
CMCP_4,Rasbora trifasciata,0.115,Rasbora
CMCP_4,Rasbora tuberculata,0.115,Rasbora
CMCP_4,Scaphiodonichthys burmanicus,0.115,Scaphiodonichthys
CMCP_4,Schizothorax integrilabiatus,0.115,Schizothorax
CMCP_4,Schizothorax malacanthus,0.115,Schizothorax
CMCP_4,Schizothorax meridionalis,0.115,Schizothorax
CMCP_4,Schizothorax molesworthi,0.115,Schizothorax
CMCP_4,Schizothorax rotundimaxillaris,0.115,Schizothorax
CMCP_4,Sinocrossocheilus megalophthalmus,0.115,Sinocrossocheilus
CMCP_4,Sinocyclocheilus guilinensis,0.115,Sinocyclocheilus
CMCP_supplement,Tiaroga cobitis,0.115,Tiaroga
CMCP_1,Aphyocypris lini,0.114,Aphyocypris
CMCP_1,Barbus gurneyi,0.114,Barbus
CMCP_3,Opsarius caudiocellatus,0.114,Opsarius
CMCP_3,Pectenocypris korthausae,0.114,Pectenocypris
CMCP_2,Pseudobarbus tenuis,0.114,Pseudobarbus
CMCP_5,Trigonostigma espei,0.114,Trigonostigma
CMCP_4,Puntioplites bulu,0.114,Puntioplites
CMCP_4,Rasbora myersi,0.114,Rasbora
CMCP_4,Rectoris luxiensis,0.114,Rectoris
CMCP_4,Romanogobio belingi,0.114,Romanogobio
CMCP_4,Romanogobio vladykovi,0.114,Romanogobio
CMCP_4,Sawbwa resplendens,0.114,Sawbwa
CMCP_4,Scardinius knezevici,0.114,Scardinius
CMCP_4,Schismatorhynchos nukta,0.114,Schismatorhynchos
CMCP_4,Schizothorax chongi,0.114,Schizothorax
CMCP_4,Schizothorax davidi,0.114,Schizothorax
CMCP_4,Schizothorax dolichonema,0.114,Schizothorax
CMCP_4,Schizothorax dulongensis,0.114,Schizothorax
CMCP_4,Schizothorax griseus,0.114,Schizothorax
CMCP_4,Schizothorax kozlovi,0.114,Schizothorax
CMCP_4,Schizothorax lissolabiatus,0.114,Schizothorax
CMCP_4,Schizothorax prenanti,0.114,Schizothorax
CMCP_4,Schizothorax sinensis,0.114,Schizothorax
CMCP_4,Schizothorax yunnanensis,0.114,Schizothorax
CMCP_1,Aphyocypris normalis,0.113,Aphyocypris
CMCP_3,Nicholsicypris normalis,0.113,Nicholsicypris
CMCP_2,Platypharodon extremus,0.113,Platypharodon
CMCP_2,Procypris mera,0.113,Procypris
CMCP_2,Pseudobarbus verloreni,0.113,Pseudobarbus
CMCP_2,Pseudophoxinus maeandri,0.113,Pseudophoxinus
CMCP_2,Pseudophoxinus minutus,0.113,Pseudophoxinus
CMCP_2,Pseudophoxinus ninae,0.113,Pseudophoxinus
CMCP_4,Ptychidio macrops,0.113,Ptychidio
CMCP_4,Ptychobarbus chungtienensis,0.113,Ptychobarbus
CMCP_4,Ptychobarbus conirostris,0.113,Ptychobarbus
CMCP_4,Puntioplites waandersi,0.113,Puntioplites
CMCP_4,Puntius phutunio,0.113,Puntius
CMCP_4,Rasbora dorsiocellata,0.113,Rasbora
CMCP_4,Rasboroides vaterifloris,0.113,Rasboroides
CMCP_4,Schizothorax biddulphi,0.113,Schizothorax
CMCP_4,Semilabeo notabilis,0.113,Semilabeo
CMCP_4,Sikukia gudgeri,0.113,Sikukia
CMCP_1,Aphyocypris pulchrilineata,0.112,Aphyocypris
CMCP_1,Barbus motebensis,0.112,Barbus
CMCP_3,Ladigesocypris ghigii,0.112,Ladigesocypris
CMCP_3,Ladigesocypris irideus,0.112,Ladigesocypris
CMCP_3,Microphysogobio brevirostris,0.112,Microphysogobio
CMCP_4,Ptychobarbus kaznakovi,0.112,Ptychobarbus
CMCP_4,Puntius dorsalis,0.112,Puntius
CMCP_4,Puntius sachsii,0.112,Puntius
CMCP_4,Puntius semifasciolatus,0.112,Puntius
CMCP_4,Rasbora aprotaenia,0.112,Rasbora
CMCP_4,Rasbora spilotaenia,0.112,Rasbora
CMCP_4,Richardsonius egregius,0.112,Richardsonius
CMCP_4,Salmophasia boopis,0.112,Salmophasia
CMCP_4,Schizopygopsis malacanthus,0.112,Schizopygopsis
CMCP_4,Schizothorax waltoni,0.112,Schizothorax
CMCP_4,Sinocyclocheilus qujingensis,0.112,Sinocyclocheilus
CMCP_1,Barbus serra,0.111,Barbus
CMCP_3,Notropis alborus,0.111,Notropis
CMCP_2,Pseudogobio esocinus,0.111,Pseudogobio
CMCP_5,Trigonostigma hengeli,0.111,Trigonostigma
CMCP_4,Puntius paucimaculatus,0.111,Puntius
CMCP_4,Rasbora beauforti,0.111,Rasbora
CMCP_4,Rasbora vaterifloris,0.111,Rasbora
CMCP_4,Romanogobio uranoscopus,0.111,Romanogobio
CMCP_4,Rutilus alburnoides,0.111,Rutilus
CMCP_4,Rutulis alburnoides,0.111,Rutulis
CMCP_4,Semilabeo obscurus,0.111,Semilabeo
CMCP_4,Sinocyclocheilus lateristriatus,0.111,Sinocyclocheilus
CMCP_1,Barbus macinensis,0.11,Barbus
CMCP_1,Candidia pingtungensis,0.11,Candidia
CMCP_2,Pseudorasbora pugnax,0.11,Pseudorasbora
CMCP_4,Puntius sarana,0.11,Puntius
CMCP_4,Rasbora johannae,0.11,Rasbora
CMCP_4,Romanogobio macropterus,0.11,Romanogobio
CMCP_4,Rutilus macrolepidotus,0.11,Rutilus
CMCP_4,Schizopygopsis kessleri,0.11,Schizopygopsis
CMCP_4,Schizothorax macrophthalmus,0.11,Schizothorax
CMCP_4,Schizothorax nepalensis,0.11,Schizothorax
CMCP_4,Schizothorax oconnori,0.11,Schizothorax
CMCP_4,Schizothorax raraensis,0.11,Schizothorax
CMCP_4,Schizothorax wangchiachii,0.11,Schizothorax
CMCP_4,Sikukia flavicaudata,0.11,Sikukia
CMCP_4,Sinilabeo dero,0.11,Sinilabeo
CMCP_4,Sinocyclocheilus microphthalmus,0.11,Sinocyclocheilus
CMCP_3,Leuciscus cephalus,0.109,Leuciscus
CMCP_5,Squalius orientalis,0.109,Squalius
CMCP_5,Squalius turcicus,0.109,Squalius
CMCP_5,Xenocypris dividi,0.109,Xenocypris
CMCP_4,Ptychidio jordani,0.109,Ptychidio
CMCP_4,Puntius gelius,0.109,Puntius
CMCP_4,Puntius melanampyx,0.109,Puntius
CMCP_4,Puntius thermalis,0.109,Puntius
CMCP_4,Rasbora paviana,0.109,Rasbora
CMCP_4,Rasbora tubbi,0.109,Rasbora
CMCP_4,Rasbora vulgaris,0.109,Rasbora
CMCP_4,Scardinius acarnanicus,0.109,Scardinius
CMCP_1,Barbodes aurotaeniatus,0.108,Barbodes
CMCP_1,Barbus anema,0.108,Barbus
CMCP_1,Campostoma ornatum,0.108,Campostoma
CMCP_3,Leuciscus merzbacheri,0.108,Leuciscus
CMCP_3,Phoxinus strymonicus,0.108,Phoxinus
CMCP_2,Pseudochondrostoma polylepis,0.108,Pseudochondrostoma
CMCP_2,Pseudorasbora interrupta,0.108,Pseudorasbora
CMCP_4,Rasbora chrysotaenia,0.108,Rasbora
CMCP_4,Rasbora ennealepis,0.108,Rasbora
CMCP_4,Rasbora rubrodorsalis,0.108,Rasbora
CMCP_4,Rhodeus suigensis,0.108,Rhodeus
CMCP_4,Schizothorax esocinus,0.108,Schizothorax
CMCP_4,Schizothorax labiatus,0.108,Schizothorax
CMCP_4,Schizothorax progastus,0.108,Schizothorax
CMCP_4,Schizothorax richardsonii,0.108,Schizothorax
CMCP_1,Barbus ablabes,0.107,Barbus
CMCP_2,Pseudogobio guilinensis,0.107,Pseudogobio
CMCP_5,Telestes polylepis,0.107,Telestes
CMCP_4,Ptychidio longibarbus,0.107,Ptychidio
CMCP_4,Puntius arulius,0.107,Puntius
CMCP_4,Rhynchocypris oxycephalus,0.107,Rhynchocypris
CMCP_4,Schizopygopsis kialingensis,0.107,Schizopygopsis
CMCP_4,Sinibrama melrosei,0.107,Sinibrama
CMCP_1,Acheilognathus cyanostigma,0.106,Acheilognathus
CMCP_3,Nipponocypris koreanus,0.106,Nipponocypris
CMCP_3,Nipponocypris temminckii,0.106,Nipponocypris
CMCP_3,Notropis bifrenatus,0.106,Notropis
CMCP_3,Notropis greenei,0.106,Notropis
CMCP_3,Opsariichthys uncirostris,0.106,Opsariichthys
CMCP_5,Toxabramis swinhonis,0.106,Toxabramis
CMCP_5,Xenocypris hupeinensis,0.106,Xenocypris
CMCP_5,Zacco temminckii,0.106,Zacco
CMCP_4,Rasbora dusonensis,0.106,Rasbora
CMCP_4,Scaphognathops stejnegeri,0.106,Scaphognathops
CMCP_supplement,Rohtee ogilbii,0.106,Rohtee
CMCP_1,Abbottina binhi,0.105,Abbottina
CMCP_3,Notropis girardi,0.105,Notropis
CMCP_2,Procypris rabaudi,0.105,Procypris
CMCP_2,Pseudocrossocheilus papillolabrus,0.105,Pseudocrossocheilus
CMCP_2,Pseudocrossocheilus tridentis,0.105,Pseudocrossocheilus
CMCP_2,Pseudorasbora pumila,0.105,Pseudorasbora
CMCP_5,Zacco sieboldii,0.105,Zacco
CMCP_4,Pteronotropis signipinnis,0.105,Pteronotropis
CMCP_4,Rasbora laticlavia,0.105,Rasbora
CMCP_4,Rasbora rasbora,0.105,Rasbora
CMCP_4,Rasbora sumatrana,0.105,Rasbora
CMCP_4,Rutilus arcasii,0.105,Rutilus
CMCP_supplement,Zacco sieboldii,0.105,Zacco
CMCP_1,Algansea avia,0.104,Algansea
CMCP_3,Pararasbora moltrechti,0.104,Pararasbora
CMCP_2,Pseudochondrostoma willkommii,0.104,Pseudochondrostoma
CMCP_5,Xenocypris davidi,0.104,Xenocypris
CMCP_5,Xenocypris microlepis,0.104,Xenocypris
CMCP_5,Xenocypris yunnanensis,0.104,Xenocypris
CMCP_4,Sinocrossocheilus liuchengensis,0.104,Sinocrossocheilus
CMCP_3,Luciosoma bleekeri,0.103,Luciosoma
CMCP_5,Systomus martenstyni,0.103,Systomus
CMCP_4,Rasbora tornieri,0.103,Rasbora
CMCP_4,Rutilus lemmingii,0.103,Rutilus
CMCP_4,Sinibrama macrops,0.103,Sinibrama
CMCP_4,Sinibrama wui,0.103,Sinibrama
CMCP_1,Barbus pallidus,0.102,Barbus
CMCP_3,Phoxinus ujmonensis,0.102,Phoxinus
CMCP_2,Prolabeops melanhypopterus,0.102,Prolabeops
CMCP_2,Pseudocrossocheilus bamaensis,0.102,Pseudocrossocheilus
CMCP_2,Pseudocrossocheilus longibullus,0.102,Pseudocrossocheilus
CMCP_2,Pseudocrossocheilus nigrovittatus,0.102,Pseudocrossocheilus
CMCP_4,Sinocrossocheilus bamaensis,0.102,Sinocrossocheilus
CMCP_4,Sinocrossocheilus guizhouensis,0.102,Sinocrossocheilus
CMCP_1,Barbus macrops,0.101,Barbus
CMCP_1,Chanodichthys dabryi,0.101,Chanodichthys
CMCP_3,Metzia longinasus,0.101,Metzia
CMCP_3,Microdevario gatesi,0.101,Microdevario
CMCP_3,Notropis wickliffi,0.101,Notropis
CMCP_3,Pethia reval,0.101,Pethia
CMCP_4,Raiamas christyi,0.101,Raiamas
CMCP_4,Rectoris posehensis,0.101,Rectoris
CMCP_4,Sinibrama taeniatus,0.101,Sinibrama
CMCP_4,Sinilabeo rendahli,0.101,Sinilabeo
CMCP_1,Coreius heterodon,0.1,Coreius
CMCP_3,Parazacco spilurus,0.1,Parazacco
CMCP_1,Ancherythroculter wangi,0.099,Ancherythroculter
CMCP_1,Barbus baudoni,0.099,Barbus
CMCP_1,Chanodichthys mongolicus,0.099,Chanodichthys
CMCP_1,Chela dadiburjori,0.099,Chela
CMCP_1,Chela dadyburjori,0.099,Chela
CMCP_3,Laubuka lankensis,0.099,Laubuka
CMCP_3,Notropis candidus,0.099,Notropis
CMCP_3,Oreoleuciscus humilis,0.099,Oreoleuciscus
CMCP_3,Oreoleuciscus potanini,0.099,Oreoleuciscus
CMCP_2,Placocheilus caudofasciatus,0.099,Placocheilus
CMCP_2,Pseudobrama simoni,0.099,Pseudobrama
CMCP_1,Barbus brevipinnis,0.098,Barbus
CMCP_1,Acanthorhodeus gracilis,0.097,Acanthorhodeus
CMCP_1,Barbus pobeguini,0.097,Barbus
CMCP_1,Boraras merah,0.097,Boraras
CMCP_1,Candidia barbata,0.097,Candidia
